"","town","tract","longitude","latitude","value","cmedv","crime","residential","industrial","river","nox","rooms","older","distance","highway","tax","ptratio","lstat","black"
"1","Nahant",2011,-70.9550018,42.2550011,24,24,0.00632000016,18,2.30999994,"no",0.537999988,6.57499981,65.1999969,4.09000015,1,296,15.3000002,4.98000002,0
"2","Swampscott",2021,-70.9499969,42.2874985,21.6000004,21.6000004,0.0273100007,0,7.07000017,"no",0.469000012,6.421,78.9000015,4.96710014,2,242,17.7999992,9.14000034,0
"3","Swampscott",2022,-70.935997,42.2830009,34.7000008,34.7000008,0.0272899996,0,7.07000017,"no",0.469000012,7.18499994,61.0999985,4.96710014,2,242,17.7999992,4.03000021,0.323849469
"4","Marblehead",2031,-70.9280014,42.2929993,33.4000015,33.4000015,0.0323700011,0,2.18000007,"no",0.458000004,6.99800014,45.7999992,6.06220007,3,222,18.7000008,2.94000006,0.180415884
"5","Marblehead",2032,-70.9219971,42.2980003,36.2000008,36.2000008,0.0690499991,0,2.18000007,"no",0.458000004,7.14699984,54.2000008,6.06220007,3,222,18.7000008,5.32999992,0
"6","Marblehead",2033,-70.9164963,42.3040009,28.7000008,28.7000008,0.0298500005,0,2.18000007,"no",0.458000004,6.42999983,58.7000008,6.06220007,3,222,18.7000008,5.21000004,0.22102201
"7","Salem",2041,-70.935997,42.2970009,22.8999996,22.8999996,0.0882899985,12.5,7.86999989,"no",0.523999989,6.01200008,66.5999985,5.56050014,5,311,15.1999998,12.4300003,0.103257567
"8","Salem",2042,-70.9375,42.3100014,27.1000004,22.1000004,0.144549996,12.5,7.86999989,"no",0.523999989,6.17199993,96.0999985,5.95050001,5,311,15.1999998,19.1499996,0
"9","Salem",2043,-70.9329987,42.3120003,16.5,16.5,0.211239994,12.5,7.86999989,"no",0.523999989,5.63100004,100,6.08209991,5,311,15.1999998,29.9300003,0.820421457
"10","Salem",2044,-70.9290009,42.3160019,18.8999996,18.8999996,0.170039997,12.5,7.86999989,"no",0.523999989,6.00400019,85.9000015,6.59210014,5,311,15.1999998,17.1000004,0.813989639
"11","Salem",2045,-70.9349976,42.3160019,15,15,0.224889994,12.5,7.86999989,"no",0.523999989,6.37699986,94.3000031,6.34670019,5,311,15.1999998,20.4500008,0.34858495
"12","Salem",2046,-70.9440002,42.3170013,18.8999996,18.8999996,0.117470004,12.5,7.86999989,"no",0.523999989,6.00899982,82.9000015,6.22669983,5,311,15.1999998,13.2700005,0
"13","Salem",2047,-70.9509964,42.3059998,21.7000008,21.7000008,0.0937800035,12.5,7.86999989,"no",0.523999989,5.88899994,39,5.45090008,5,311,15.1999998,15.71,0.51000005
"14","Lynn",2051,-70.9645004,42.2919998,20.3999996,20.3999996,0.629760027,0,8.14000034,"no",0.537999988,5.94899988,61.7999992,4.70749998,4,307,21,8.26000023,0
"15","Lynn",2052,-70.9720001,42.2869987,18.2000008,18.2000008,0.637960017,0,8.14000034,"no",0.537999988,6.09600019,84.5,4.46190023,4,307,21,10.2600002,1.35423839
"16","Lynn",2053,-70.9765015,42.2939987,19.8999996,19.8999996,0.627390027,0,8.14000034,"no",0.537999988,5.83400011,56.5,4.49860001,4,307,21,8.47000027,0.101670258
"17","Lynn",2054,-70.9869995,42.2985001,23.1000004,23.1000004,1.05393004,0,8.14000034,"no",0.537999988,5.93499994,29.2999992,4.49860001,4,307,21,6.57999992,0.802733243
"18","Lynn",2055,-70.9779968,42.2849998,17.5,17.5,0.784200013,0,8.14000034,"no",0.537999988,5.98999977,81.6999969,4.25790024,4,307,21,14.6700001,0.810771644
"19","Lynn",2056,-70.9925003,42.2825012,20.2000008,20.2000008,0.802709997,0,8.14000034,"no",0.537999988,5.45599985,36.5999985,3.79649997,4,307,21,11.6899996,9.24221039
"20","Lynn",2057,-70.987999,42.2775993,18.2000008,18.2000008,0.725799978,0,8.14000034,"no",0.537999988,5.72700024,69.5,3.79649997,4,307,21,11.2799997,0.474003464
"21","Lynn",2058,-70.9834976,42.2770004,13.6000004,13.6000004,1.25179005,0,8.14000034,"no",0.537999988,5.57000017,98.0999985,3.79789996,4,307,21,21.0200005,1.63469899
"22","Lynn",2059,-70.9820023,42.2809982,19.6000004,19.6000004,0.852039993,0,8.14000034,"no",0.537999988,5.96500015,89.1999969,4.01230001,4,307,21,13.8299999,0.347785801
"23","Lynn",2060,-70.9775009,42.2789993,15.1999998,15.1999998,1.23247004,0,8.14000034,"no",0.537999988,6.1420002,91.6999969,3.9769001,4,307,21,18.7199993,0
"24","Lynn",2061,-70.9729996,42.2789993,14.5,14.5,0.988430023,0,8.14000034,"no",0.537999988,5.8130002,100,4.09520006,4,307,21,19.8799992,0.1875799
"25","Lynn",2062,-70.9692993,42.281601,15.6000004,15.6000004,0.750259995,0,8.14000034,"no",0.537999988,5.92399979,94.0999985,4.39960003,4,307,21,16.2999992,0.204299912
"26","Lynn",2063,-70.9639969,42.2840004,13.8999996,13.8999996,0.840539992,0,8.14000034,"no",0.537999988,5.59899998,85.6999969,4.45459986,4,307,21,16.5100002,7.91642666
"27","Lynn",2064,-70.9597015,42.2869987,16.6000004,16.6000004,0.671909988,0,8.14000034,"no",0.537999988,5.8130002,90.3000031,4.68200016,4,307,21,14.8100004,1.60944784
"28","Lynn",2065,-70.9597015,42.2825012,14.8000002,14.8000002,0.955770016,0,8.14000034,"no",0.537999988,6.04699993,88.8000031,4.45340014,4,307,21,17.2800007,7.64839649
"29","Lynn",2066,-70.9570007,42.2799988,18.3999996,18.3999996,0.772989988,0,8.14000034,"no",0.537999988,6.49499989,94.4000015,4.45469999,4,307,21,12.8000002,0.715171218
"30","Lynn",2067,-70.9509964,42.2779999,21,21,1.00244999,0,8.14000034,"no",0.537999988,6.67399979,87.3000031,4.23899984,4,307,21,11.9799995,1.3372066
"31","Lynn",2068,-70.9670029,42.2789993,12.6999998,12.6999998,1.13081002,0,8.14000034,"no",0.537999988,5.71299982,94.0999985,4.2329998,4,307,21,22.6000004,2.98583436
"32","Lynn",2069,-70.9639969,42.2765007,14.5,14.5,1.35472,0,8.14000034,"no",0.537999988,6.07200003,100,4.17500019,4,307,21,13.04,1.62166309
"33","Lynn",2070,-70.9720001,42.2765007,13.1999998,13.1999998,1.38799,0,8.14000034,"no",0.537999988,5.94999981,82,3.99000001,4,307,21,27.7099991,14.7713776
"34","Lynn",2071,-70.9794998,42.276001,13.1000004,13.1000004,1.15172005,0,8.14000034,"no",0.537999988,5.70100021,95,3.78719997,4,307,21,18.3500004,3.10258913
"35","Lynn",2072,-70.9775009,42.2719994,13.5,13.5,1.61282003,0,8.14000034,"no",0.537999988,6.09600019,96.9000015,3.75979996,4,307,21,20.3400002,13.1692867
"36","Sargus",2081,-71,42.2700005,18.8999996,18.8999996,0.0641700029,0,5.96000004,"no",0.499000013,5.93300009,68.1999969,3.36030006,5,279,19.2000008,9.68000031,0
"37","Sargus",2082,-71.0080032,42.2745018,20,20,0.0974399969,0,5.96000004,"no",0.499000013,5.84100008,61.4000015,3.37789989,5,279,19.2000008,11.4099998,1.55408967
"38","Sargus",2083,-71.0039978,42.286499,21,21,0.0801400021,0,5.96000004,"no",0.499000013,5.8499999,41.5,3.93420005,5,279,19.2000008,8.77000046,0
"39","Sargus",2084,-71.0199966,42.2874985,24.7000008,24.2000008,0.175050005,0,5.96000004,"no",0.499000013,5.96600008,30.2000008,3.84730005,5,279,19.2000008,10.1300001,0.276001841
"40","Lynnfield",2091,-71.0130005,42.3129997,30.7999992,30.7999992,0.0276299994,75,2.95000005,"no",0.428000003,6.59499979,21.7999992,5.40110016,3,252,18.2999992,4.32000017,0.100874253
"41","Lynnfield",2092,-71.0299988,42.3240013,34.9000015,34.9000015,0.0335900001,75,2.95000005,"no",0.428000003,7.02400017,15.8000002,5.40110016,3,252,18.2999992,1.98000002,0.101670258
"42","Peabody",2101,-71.0039978,42.3349991,26.6000004,26.6000004,0.127440006,0,6.90999985,"no",0.448000014,6.76999998,2.9000001,5.72090006,3,233,17.8999996,4.84000015,0.918600976
"43","Peabody",2102,-71.0029984,42.3235016,25.2999992,25.2999992,0.141499996,0,6.90999985,"no",0.448000014,6.16900015,6.5999999,5.72090006,3,233,17.8999996,5.80999994,1.08312166
