"lfp","whrs","kl6","k618","wa","we"
1,1610,1,0,32,12
1,1656,0,2,30,12
1,1980,1,3,35,12
1,456,0,3,34,12
1,1568,1,2,31,14
1,2032,0,0,54,12
1,1440,0,2,37,16
1,1020,0,0,54,12
1,1458,0,2,48,12
1,1600,0,2,39,12
1,1969,0,1,33,12
1,1960,0,1,42,11
1,240,1,2,30,12
1,997,0,2,43,12
1,1848,0,1,43,10
1,1224,0,3,35,11
1,1400,0,2,43,12
1,640,0,5,39,12
1,2000,0,0,45,12
1,1324,0,4,35,12
1,2215,0,2,42,16
1,1680,0,0,30,12
1,1600,0,0,48,13
1,800,0,0,45,12
1,1955,1,1,31,12
1,660,0,2,43,17
1,525,0,0,59,12
1,1904,0,3,32,12
1,1516,1,0,31,17
1,346,0,0,42,12
1,1040,0,0,50,11
1,732,0,0,59,16
1,1880,0,2,36,13
1,1680,0,1,51,12
1,2081,0,3,45,16
1,690,0,1,42,11
1,4210,0,0,46,12
1,2205,0,1,46,10
1,1952,0,0,51,14
1,1302,0,0,30,17
1,112,1,2,30,12
1,893,0,0,57,12
1,583,1,2,31,16
1,480,0,2,48,12
1,1900,0,3,30,12
1,576,0,2,34,12
1,2056,0,2,48,16
1,1984,0,0,45,12
1,2640,0,0,51,12
1,240,0,2,30,12
1,1173,0,1,46,12
1,3640,0,0,58,12
1,340,0,8,37,12
1,500,0,0,52,8
1,1599,0,0,52,10
1,1830,0,0,31,16
1,1920,0,0,55,14
1,2052,0,0,34,17
1,2312,0,0,55,14
1,196,0,2,39,12
1,2500,0,3,40,14
1,1980,0,4,43,12
1,1840,0,0,48,8
1,320,0,0,47,12
1,419,0,4,41,12
1,1880,0,0,36,8
1,72,0,2,46,17
1,120,0,0,34,12
1,1885,0,3,41,12
1,240,0,1,51,12
1,1729,0,0,33,12
1,1850,0,0,52,12
1,2033,0,0,58,9
1,608,2,4,34,10
1,1153,0,1,31,12
1,2208,0,1,48,12
1,252,0,2,32,12
1,337,0,0,49,17
1,90,2,2,32,15
1,1174,0,0,58,12
1,372,0,0,50,6
1,30,0,0,60,14
1,1800,0,1,50,12
1,282,0,0,56,14
1,720,0,0,51,9
1,1440,0,1,54,17
1,2100,0,0,59,13
1,1000,0,2,46,9
1,952,0,1,46,15
1,1413,1,3,39,12
1,2100,0,2,44,12
1,120,2,0,33,12
1,3000,1,2,33,12
1,1000,0,2,48,12
1,336,0,4,31,12
1,1216,0,1,45,12
1,988,0,1,45,12
1,2581,0,2,32,13
1,2030,0,0,47,12
1,413,0,2,34,13
1,782,0,1,37,12
1,1388,0,1,36,12
1,1450,1,2,47,12
1,1720,0,1,48,16
1,800,0,2,42,12
1,360,0,3,33,13
1,2000,0,0,46,11
1,1176,0,3,47,12
1,2058,0,1,44,12
1,900,0,4,36,12
1,215,2,0,31,17
1,2000,0,0,55,14
1,757,0,1,45,16
1,1264,0,0,47,17
1,2064,0,3,46,12
1,1280,0,0,49,11
1,1715,0,0,49,12
1,2000,0,2,45,12
1,12,1,3,38,17
1,1528,0,0,47,10
1,561,0,3,54,13
1,2058,0,0,41,11
1,1823,0,2,43,12
1,1680,1,1,31,16
1,1440,0,0,47,17
1,4950,0,2,35,12
1,1176,0,3,45,16
1,1100,1,0,33,12
1,1516,0,1,54,16
1,900,0,4,35,8
1,1080,1,2,31,12
1,480,0,0,55,12
1,288,0,2,34,12
1,1875,0,1,38,13
1,630,0,1,45,11
1,234,0,1,47,12
1,1600,0,2,39,12
1,960,1,0,36,14
1,120,1,2,33,12
1,2025,0,0,50,12
1,1809,0,0,58,12
